Time,Confederação,u_pts,wcr,p21,p20,p19,p18,ph,c21,c20,c19,c18,c17,c16,c15,c14,c13,c12,c11,c10,c9,c8,c7,c6,c5,c4,c3,c2,c1,r21,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
Bósnia,UEFA,779,55,0,16,68,116,192,-,e,e,e,-,20,14,e,7,-,17,e,e,-,27,-,e,-,e,e,-,51,48,36,28,28,19,21,26,20,50,50,38,60,64,-,-,-,-,-,-,-
Botsuana,CAF,0,108,0,0,0,0,0,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,124,124,121,120,120,116,116,113,-,-,-,-,-,-,-,-,-,-,-,-
Brasil,CONMEBOL,5630,1,380,364,272,300,612,4,6,17,6,11,4,3,9,1,29,6,9,9,4,1,7,5,6,3,9,5,3,2,3,3,3,3,1,3,2,6,6,5,1,1,1,2,2,4,2,4,4
Bulgária,UEFA,2147,42,0,324,148,32,204,-,10,9,42,-,15,-,e,13,4,-,e,-,e,-,18,-,25,-,e,e,23,17,32,36,25,17,27,16,5,8,8,61,58,49,46,45,52,45,-,-,-
Burkina Faso,CAF,213,91,0,0,36,0,80,-,-,43,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,81,66,68,52,49,102,105,103,-,-,-,-,-,-,-,-,-,-,-,-
Cabo Verde,CAF,62,104,0,0,0,0,52,-,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,97,90,79,64,61,111,111,109,-,-,-,-,-,-,-,-,-,-,-,-
Camarões,CAF,2031,23,144,108,140,76,140,26,t,31,39,-,27,5,-,e,11,25,22,-,29,16,-,22,12,27,6,10,25,33,33,34,37,30,18,34,26,13,13,24,19,18,17,17,12,12,12,10,10
Canadá,CONCACAF,595,66,96,0,0,0,48,25,-,e,-,-,e,-,-,e,e,e,19,-,23,-,22,12,-,26,-,-,58,90,86,75,59,56,78,78,62,55,55,32,34,31,35,31,33,47,36,-,-
Cazaquistão,UEFA,288,111,0,0,84,0,24,-,-,e,-,-,e,-,-,-,-,-,-,e,-,31,-,-,e,-,e,-,79,80,69,96,83,81,118,118,116,-,-,-,-,-,-,-,-,-,-,-,-
Chade,CAF,153,105,0,0,36,0,32,-,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,89,81,90,76,76,112,112,110,-,-,-,-,-,-,-,-,-,-,-,-
Chile,CONMEBOL,1554,46,0,240,80,60,116,-,23,40,e,-,e,9,22,20,26,26,4,6,-,17,-,28,7,5,-,9,35,27,40,38,36,29,12,19,12,14,14,12,10,15,12,11,8,7,10,21,9
China,AFC,382,52,0,64,0,0,52,-,t,e,-,-,e,-,-,e,-,18,24,-,32,e,-,e,-,e,-,e,65,68,82,70,54,52,69,68,56,46,46,66,66,72,-,-,-,-,-,-,-
Chipre,UEFA,0,89,0,0,0,0,0,-,-,-,e,-,-,-,-,e,-,e,21,e,-,32,16,-,26,-,e,-,119,120,118,111,108,110,94,92,75,63,63,35,47,47,44,41,52,46,-,-,-
Colômbia,CONMEBOL,1983,32,0,164,136,172,424,-,27,34,17,12,5,18,-,e,-,28,-,-,27,-,29,3,15,e,e,e,26,16,15,12,14,20,39,64,53,47,47,48,32,25,22,21,16,28,-,-,-
Congo,CAF,610,96,0,120,0,44,8,-,t,-,45,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,59,57,88,77,84,85,71,67,50,98,98,98,98,-,-,-,-,-,-,-,-
Coréia do Norte,AFC,320,75,0,32,32,0,52,-,t,e,-,-,e,-,14,-,e,e,-,-,-,-,-,-,-,-,-,-,74,73,73,61,46,43,37,33,97,90,90,90,90,-,-,-,-,-,-,-,-
Coréia do Sul,AFC,2344,36,132,124,204,72,280,16,t,12,41,28,12,17,11,27,5,e,e,e,-,22,11,6,-,-,21,3,21,23,20,26,19,10,15,11,19,12,12,44,20,16,14,10,11,20,13,8,3
Costa do Marfim,CAF,1341,30,0,228,0,132,32,-,15,-,24,-,-,16,-,e,e,14,-,-,-,-,-,-,-,-,-,-,40,35,54,44,53,51,35,47,43,36,36,28,54,-,-,-,-,-,-,-,-
Costa Rica,CONCACAF,1398,37,0,36,368,0,24,32,32,7,-,32,e,21,-,e,-,-,e,-,22,-,24,16,13,-,23,-,38,30,29,73,58,55,42,60,54,65,65,50,37,28,30,27,24,26,43,30,-
Croácia,UEFA,3350,18,100,56,548,272,236,14,t,1,11,15,e,22,19,-,22,-,17,e,e,e,-,e,-,e,e,e,9,6,5,15,27,36,29,31,51,33,33,40,63,-,-,-,-,-,-,-,-
Dinamarca,UEFA,1793,14,272,0,0,0,260,8,e,e,-,14,e,-,-,23,e,e,-,27,-,21,-,e,-,19,7,e,30,55,46,39,34,62,45,45,38,66,66,51,38,33,28,32,25,22,18,12,-
Egito,CAF,409,29,0,0,0,112,84,-,t,-,e,24,-,-,e,-,e,e,-,-,-,-,-,-,-,-,-,-,62,58,51,43,50,88,61,72,80,82,82,80,80,-,-,-,-,-,-,-,-
El Salvador,CONCACAF,0,101,0,0,0,0,0,-,e,-,e,-,-,-,e,-,e,13,-,e,e,e,e,-,e,e,-,-,121,122,122,112,109,106,90,88,65,34,34,29,55,-,-,-,-,-,-,-,-
Equador,CONMEBOL,3916,39,472,36,184,232,228,2,t,22,16,-,16,25,21,19,e,-,26,e,-,17,13,-,22,12,14,e,6,26,16,20,24,15,28,27,29,48,48,46,26,20,19,18,18,15,17,18,-
Escócia,UEFA,2331,48,0,236,196,332,4,-,13,22,3,-,-,-,e,e,9,1,7,8,6,e,-,25,2,1,11,e,22,15,24,30,77,63,38,30,13,5,5,4,5,5,5,4,4,3,4,15,-
Eslováquia,UEFA,262,47,0,0,0,88,20,-,e,-,e,-,-,-,32,-,e,-,30,e,e,e,-,29,3,16,8,e,75,75,63,50,60,58,48,44,69,53,53,45,25,19,18,13,10,9,15,12,-
Eslovênia,UEFA,0,60,0,0,0,0,0,-,-,-,e,-,-,-,e,-,e,e,e,-,e,-,e,e,-,e,e,-,112,112,112,106,102,104,85,90,86,84,84,84,84,-,-,-,-,-,-,-,-
Espanha,UEFA,3598,7,220,192,228,152,516,11,11,10,23,3,e,26,20,4,e,22,-,21,11,12,9,-,28,9,13,e,7,9,8,8,8,22,11,9,11,27,27,22,14,14,15,14,17,13,11,16,-
Estados Unidos,CONCACAF,2086,12,256,84,0,76,132,7,t,e,35,-,e,24,12,5,e,-,e,-,17,7,e,e,e,-,-,e,24,49,45,33,33,26,16,13,22,72,72,58,50,43,51,-,-,-,-,-,-
Estônia,UEFA,0,92,0,0,0,0,0,-,-,-,e,-,-,-,-,e,e,e,12,3,15,14,-,e,-,e,e,e,114,114,114,107,99,100,87,81,60,38,38,8,21,44,52,-,-,-,-,-,-
Fiji,OFC,1102,100,0,104,108,164,0,-,t,25,25,-,-,-,-,-,30,18,-,-,-,-,-,-,-,-,-,-,49,45,43,53,107,102,93,87,67,40,40,39,62,-,-,-,-,-,-,-,-
Finlândia,UEFA,1787,53,0,0,296,336,116,-,t,4,2,-,e,-,3,20,1,7,18,13,e,-,20,-,23,8,e,-,32,22,10,17,30,18,5,4,4,4,4,11,17,32,27,24,19,16,20,-,-
França,UEFA,6496,4,628,300,224,284,672,1,5,10,10,6,2,10,2,9,2,3,2,1,9,-,23,2,4,13,12,6,1,3,4,2,1,1,4,1,1,1,1,1,2,6,6,5,5,6,7,5,6
Gabão,CAF,27,93,0,0,0,0,16,-,-,e,-,-,e,-,-,-,e,e,-,-,-,-,-,-,-,-,-,-,107,107,105,99,86,87,103,106,104,96,96,96,96,-,-,-,-,-,-,-,-
Gales,UEFA,1266,64,128,136,0,0,0,24,21,-,e,-,-,-,e,-,25,12,-,22,e,e,-,e,-,18,2,e,45,56,111,104,92,80,62,51,37,20,20,17,22,23,20,20,14,11,8,6,-
Gana,CAF,1243,58,72,152,0,0,184,28,16,-,e,-,10,28,26,23,6,e,-,-,-,-,-,-,-,-,-,-,44,47,53,40,31,21,33,29,23,19,19,83,83,-,-,-,-,-,-,-,-
Geórgia,UEFA,355,82,0,0,0,136,44,-,-,e,27,-,-,-,13,-,e,e,-,-,e,-,e,e,-,17,e,-,73,67,56,42,48,45,36,32,85,74,74,64,64,57,54,50,44,33,25,-,-
Grécia,UEFA,323,24,0,40,0,24,20,-,e,-,e,-,-,23,-,e,-,23,-,19,5,15,15,-,18,-,e,e,69,69,78,63,61,57,41,48,45,35,35,30,27,22,34,37,-,31,-,-,-
Guatemala,CONCACAF,347,62,0,0,84,0,36,-,-,37,-,-,e,-,-,16,-,-,e,e,e,e,e,e,e,e,-,-,70,70,59,72,57,54,46,41,33,85,85,85,85,-,-,-,-,-,-,-,-
Guiné,CAF,0,54,0,0,0,0,0,-,-,-,e,-,-,-,-,e,15,e,-,-,-,-,-,-,-,-,-,-,115,117,117,110,101,82,70,66,47,29,29,82,82,-,-,-,-,-,-,-,-
Holanda,UEFA,1835,2,124,28,100,184,240,10,e,37,14,-,18,27,29,6,e,-,29,e,e,e,e,e,-,e,e,e,28,29,23,19,23,11,24,18,18,75,75,74,74,-,-,-,-,-,-,-,-
Honduras,CONCACAF,1086,40,0,108,120,60,64,-,31,28,38,-,e,29,e,-,30,-,e,e,-,25,e,-,17,e,-,-,47,42,39,49,49,46,63,70,66,59,59,62,59,50,47,48,41,30,-,-,-
Hong Kong,AFC,1531,116,0,272,96,16,108,-,23,35,e,-,26,-,-,e,8,-,27,e,-,e,-,e,-,-,-,e,42,34,49,59,45,40,75,56,34,21,21,71,71,-,-,-,-,-,-,-,-
Hungria,UEFA,0,61,0,0,0,0,0,-,-,-,e,-,-,-,e,-,27,-,23,e,e,e,e,-,e,-,e,e,113,113,113,105,98,90,74,75,61,41,41,69,69,-,-,-,-,-,-,-,-
Ilhas Faroe,UEFA,0,121,0,0,0,0,0,-,-,e,-,-,e,-,-,-,-,-,-,-,e,-,e,e,-,e,e,-,124,125,125,125,125,125,125,125,125,-,-,-,-,-,-,-,-,-,-,-,-
Ilhas Salomão,OFC,35,98,0,0,0,0,24,-,-,e,-,-,e,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,103,105,103,88,68,68,66,62,52,99,99,99,99,-,-,-,-,-,-,-,-
Índia,AFC,222,118,0,36,0,36,0,-,e,-,e,-,-,-,e,-,e,-,-,e,-,e,-,e,-,-,-,e,88,87,100,92,124,124,123,123,122,103,103,103,103,-,-,-,-,-,-,-,-
Inglaterra,UEFA,2385,5,124,80,160,156,444,13,t,21,20,13,28,1,e,e,e,11,-,20,1,2,-,27,8,-,20,1,18,19,12,10,9,14,8,35,28,11,11,9,6,3,4,8,7,5,5,2,1
Irã,AFC,1699,19,120,88,80,48,248,17,t,45,40,22,17,29,-,18,e,-,-,e,e,-,-,32,-,-,22,4,31,39,34,32,26,32,40,36,32,69,69,53,42,36,31,28,21,21,14,9,5
Iraque,AFC,116,71,0,0,0,36,12,-,e,-,48,-,-,-,25,-,e,e,-,e,-,e,-,e,-,e,-,e,91,92,85,69,72,74,60,65,92,87,87,87,87,-,-,-,-,-,-,-,-
Irlanda,UEFA,551,22,0,16,96,0,76,-,e,e,-,-,e,-,-,25,-,e,-,26,12,e,-,23,-,-,e,e,53,53,48,55,44,41,44,38,36,71,71,56,48,46,62,55,54,-,-,-,-
Irlanda do Norte,UEFA,234,81,0,48,0,0,8,-,t,-,e,-,-,-,e,-,20,5,e,-,e,e,e,-,e,-,-,e,81,82,107,93,75,69,51,43,35,16,16,16,40,-,-,-,-,-,-,-,-
Islândia,UEFA,963,79,0,64,0,216,216,-,t,40,8,31,6,-,-,-,e,e,e,e,-,-,27,-,e,-,-,e,50,44,35,27,35,31,97,98,95,80,80,77,77,69,66,58,-,-,-,-,-
Israel,UEFA,646,41,0,92,0,60,56,-,t,-,e,-,e,-,15,-,e,e,e,-,e,e,-,18,11,-,e,-,52,50,62,48,42,39,30,28,77,73,73,59,52,45,41,36,31,27,-,-,-
Italia,UEFA,2418,8,0,304,60,168,480,-,4,e,42,-,1,19,e,12,18,e,-,18,-,28,3,15,1,4,1,e,17,11,13,6,6,2,14,20,14,9,9,15,4,2,2,1,1,1,3,3,-
Jamaica,CONCACAF,1660,51,0,52,308,108,200,-,t,5,28,-,19,-,27,-,e,-,28,e,e,20,12,-,29,-,18,8,34,25,17,31,32,25,47,42,71,54,54,49,33,24,21,23,29,24,23,11,8
Japão,AFC,2531,21,0,72,408,196,440,19,t,2,9,26,3,13,23,15,e,e,e,-,31,3,4,11,5,-,-,e,15,8,6,7,7,5,17,22,21,43,43,41,12,9,8,9,15,17,-,-,-
Kwait,AFC,202,87,0,24,0,40,0,-,e,-,e,-,-,-,-,e,e,27,8,11,e,-,30,-,-,20,-,-,86,85,93,83,110,107,88,82,58,24,24,13,30,52,48,46,45,37,29,-,-
Letônia,UEFA,8,80,0,0,0,0,4,-,-,-,e,-,-,-,e,-,e,-,e,-,24,-,31,e,-,e,e,-,111,111,110,98,87,91,82,83,90,78,78,67,67,60,68,61,-,-,-,-,-
Libéria,CAF,89,115,0,0,28,0,0,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,100,98,124,123,123,121,121,120,-,-,-,-,-,-,-,-,-,-,-,-
Líbia,CAF,211,83,0,0,60,0,0,-,-,e,-,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,83,84,77,115,114,114,98,99,100,93,93,93,93,-,-,-,-,-,-,-,-
Liechenstein,UEFA,21,122,0,0,0,0,20,-,e,-,e,-,-,-,30,-,e,15,e,e,-,e,e,-,31,-,-,e,109,109,106,89,69,67,67,58,73,42,42,37,57,67,64,57,56,51,-,-,-
Lituânia,UEFA,693,88,0,108,0,104,8,-,t,-,37,-,-,-,e,-,24,2,e,-,e,e,e,e,-,e,e,-,55,52,70,58,80,75,52,40,30,10,10,14,36,-,-,-,-,-,-,-,-
Luxemburgo,UEFA,0,125,0,0,0,0,0,-,-,e,-,-,e,-,-,-,e,-,e,-,e,-,e,e,-,e,-,e,126,126,126,126,126,126,126,126,126,107,107,107,107,-,-,-,-,-,-,-,-
Macedônia,UEFA,0,86,0,0,0,0,0,-,-,e,-,-,e,-,-,-,e,e,e,e,e,-,e,-,e,-,e,-,118,119,120,116,115,115,100,101,101,94,94,94,94,-,-,-,-,-,-,-,-
Malawi,CAF,267,103,0,0,48,0,104,-,-,48,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,76,61,62,47,44,110,110,108,-,-,-,-,-,-,-,-,-,-,-,-
Mali,CAF,505,70,0,84,0,48,12,-,t,-,e,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,60,59,80,66,70,73,57,63,91,-,-,-,-,-,-,-,-,-,-,-,-
Malta,UEFA,68,117,0,0,0,0,64,-,-,e,-,-,e,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,102,99,87,78,62,59,122,122,121,-,-,-,-,-,-,-,-,-,-,-,-
Marrocos,CAF,1911,45,112,188,0,224,24,20,7,47,7,29,-,-,18,-,28,-,-,25,e,e,e,-,30,-,19,15,29,36,44,35,55,53,43,37,64,49,49,65,65,59,57,53,49,40,32,25,14
México,CONCACAF,1592,11,120,0,72,148,308,22,e,39,21,23,7,29,16,17,16,e,-,28,e,-,19,7,-,28,-,e,33,40,26,22,21,16,31,24,24,23,23,33,35,38,33,30,30,48,37,-,-
Moldávia,UEFA,260,95,0,0,0,116,4,-,e,-,e,-,-,-,e,-,32,-,e,e,-,28,-,e,-,e,e,-,80,78,68,57,88,89,80,80,78,64,64,72,72,64,60,-,-,-,-,-,-
Nicarágua,CONCACAF,49,124,0,0,0,0,48,-,-,42,-,-,e,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,104,103,94,86,67,65,108,103,88,106,106,106,106,-,-,-,-,-,-,-,-
Níger,CAF,228,109,0,0,72,0,0,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,86,76,122,121,121,117,117,115,-,-,-,-,-,-,-,-,-,-,-,-
Nigéria,CAF,1936,28,0,244,104,84,324,-,14,29,34,18,e,20,6,11,e,-,25,10,16,10,14,e,-,24,e,e,27,18,28,24,11,13,7,6,9,44,44,18,23,26,26,38,51,44,35,-,-
Noruega,UEFA,103,35,0,0,0,0,56,-,-,e,-,-,e,-,-,e,-,e,10,e,-,24,-,e,-,e,e,e,95,91,75,65,51,50,64,69,59,57,57,27,51,62,59,-,-,-,-,-,-
Nova Zelândia,OFC,40,69,0,0,0,0,20,-,-,e,-,-,e,-,31,-,e,e,-,e,-,-,17,4,-,e,-,e,105,104,99,81,66,66,58,61,81,70,70,52,39,34,29,25,26,-,-,-,-
Panamá,CONCACAF,2522,84,0,268,168,208,456,-,3,33,13,7,31,-,-,e,14,-,e,-,e,e,e,e,-,29,-,e,19,13,14,16,22,37,72,57,41,26,26,73,73,24,63,56,55,48,37,-,-
Paquistão,AFC,449,126,0,36,28,108,4,-,t,e,29,-,-,-,e,-,e,e,e,-,19,-,32,-,-,e,-,e,71,66,64,64,104,103,105,100,114,77,77,63,61,54,70,-,-,-,-,-,-
Paraguai,CONMEBOL,247,27,0,0,0,84,0,-,-,e,32,-,-,-,e,-,e,e,-,17,8,8,-,17,e,-,e,e,77,74,65,54,97,98,68,73,70,61,61,31,31,27,36,47,40,-,-,-,-
Peru,CONMEBOL,374,49,0,0,24,24,176,-,e,e,e,27,22,-,-,e,21,-,-,30,28,e,e,e,e,e,e,-,64,61,47,46,40,34,59,54,46,37,37,75,75,-,-,-,-,-,-,-,-
Polônia,UEFA,2263,16,136,104,184,36,356,15,29,24,e,8,20,-,7,-,e,21,11,7,13,9,8,9,e,-,17,-,20,24,21,25,17,27,22,17,39,22,22,10,9,12,13,16,20,36,28,24,-
Portugal,UEFA,2777,9,160,0,176,284,664,12,t,20,5,5,11,2,5,10,12,24,-,24,3,4,10,-,e,-,-,16,10,14,7,4,2,4,3,5,16,18,18,43,16,13,25,41,60,54,42,29,16
Quênia,CAF,409,99,0,0,124,0,12,-,-,27,-,-,e,-,-,-,e,e,-,-,-,-,-,-,-,-,-,-,72,71,60,101,94,97,109,109,107,100,100,100,100,-,-,-,-,-,-,-,-
RD do Congo,CAF,424,78,0,60,0,68,0,-,t,-,e,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,66,65,79,67,90,94,77,79,72,92,92,92,92,-,-,-,-,-,-,-,-
Rep Tcheca,UEFA,3336,3,0,500,236,160,76,-,1,8,22,-,e,-,e,2,e,9,e,-,21,-,28,12,-,24,-,14,8,5,25,29,39,33,13,7,3,17,17,7,18,35,37,33,27,41,33,27,15
Romênia,UEFA,350,15,0,0,76,0,16,-,-,46,-,-,e,-,-,e,e,e,16,-,e,e,e,e,-,22,4,e,67,64,58,91,73,71,55,55,55,56,56,34,41,42,39,34,28,23,21,17,-
Ruanda,CAF,0,107,0,0,0,0,0,-,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,123,123,120,119,119,115,115,112,-,-,-,-,-,-,-,-,-,-,-,-
Rússia,UEFA,2722,34,0,404,64,160,424,-,2,e,18,10,29,11,-,e,e,e,-,29,10,13,6,e,e,-,-,11,11,7,19,13,16,28,32,50,48,58,58,47,28,21,23,26,45,34,26,22,11
San Marino,UEFA,0,127,0,0,0,0,0,-,-,-,e,-,-,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,127,127,127,127,127,127,127,127,127,-,-,-,-,-,-,-,-,-,-,-,-
São Cristóvão,CONCACAF,128,119,0,0,40,0,4,-,-,e,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,93,94,91,103,96,99,99,95,123,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,CAF,604,44,48,0,36,0,160,27,-,e,-,21,e,-,-,e,e,e,-,-,-,-,-,-,-,-,-,-,54,62,55,52,43,77,81,85,83,83,83,81,81,-,-,-,-,-,-,-,-
Sérvia,UEFA,4245,25,356,292,140,144,392,3,17,18,31,4,23,-,24,8,e,e,5,e,-,30,-,26,14,-,-,e,4,12,18,14,13,24,25,14,15,81,81,79,79,41,40,40,35,29,-,-,-
St Vicente,CONCACAF,233,102,0,0,68,0,12,-,-,e,e,-,-,-,e,-,e,31,20,15,e,e,-,e,e,-,-,e,85,83,74,95,79,79,76,74,76,52,52,20,44,-,-,-,-,-,-,-,-
Sudão,CAF,105,110,0,0,0,48,0,-,e,-,e,-,-,-,-,e,e,e,-,-,-,-,-,-,-,-,-,-,94,95,92,82,100,101,91,91,82,101,101,101,101,-,-,-,-,-,-,-,-
Suécia,UEFA,2459,13,0,224,184,180,452,-,9,14,12,9,e,-,e,3,e,-,e,-,18,e,-,19,-,e,-,12,16,10,11,11,12,35,20,12,8,68,68,55,45,39,43,42,37,34,26,22,11
Suiça,UEFA,2603,31,152,68,168,260,376,20,30,16,18,20,9,6,-,e,19,e,e,e,e,e,e,-,27,15,10,e,14,20,9,9,15,12,26,59,49,31,31,54,43,37,32,29,22,18,16,14,-
Taiti,OFC,705,112,0,140,0,64,0,-,25,-,45,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,57,54,84,76,103,105,114,113,117,102,102,102,102,-,-,-,-,-,-,-,-
Togo,CAF,32,76,0,0,0,0,16,-,-,e,-,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,106,106,104,94,82,83,95,96,98,91,91,91,91,-,-,-,-,-,-,-,-
Trinidad e Tobago,CONCACAF,1194,63,0,144,100,88,60,-,t,32,44,-,e,-,8,28,-,32,-,23,-,19,-,30,e,e,-,-,46,41,42,41,41,38,19,15,25,62,62,60,56,51,49,60,57,-,-,-,-
Tunísia,CAF,1396,38,24,104,144,0,304,30,26,30,-,17,32,-,-,30,-,30,e,-,30,e,-,-,32,10,e,e,39,32,31,37,29,47,53,53,42,60,60,57,49,40,42,39,34,25,24,-,-
Turquia,UEFA,219,17,0,0,40,0,20,-,-,e,-,-,e,-,-,e,e,-,14,-,20,11,5,10,-,30,e,-,82,79,71,85,65,64,50,46,40,28,28,23,15,17,16,19,32,48,37,-,-
Ucrânia,UEFA,1523,33,0,188,96,172,4,-,20,e,26,-,-,-,e,-,e,e,e,-,25,-,25,1,9,6,e,-,36,28,38,45,91,92,65,71,63,45,45,42,13,10,9,7,6,14,19,-,-
Uganda,CAF,87,97,0,0,24,0,0,-,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,101,102,119,118,118,106,108,106,-,-,-,-,-,-,-,-,-,-,-,-
Uruguai,CONMEBOL,1246,20,112,0,28,56,348,23,e,e,36,25,8,8,4,32,23,-,32,12,7,-,26,8,e,e,e,-,43,46,30,21,10,6,6,8,27,25,25,25,29,30,40,35,38,-,-,-,-
Uzbequistão,AFC,0,59,0,0,0,0,0,-,-,e,-,-,e,-,-,e,-,29,-,-,-,e,-,-,e,-,e,-,116,118,119,113,111,111,83,84,74,67,67,76,74,-,-,-,-,-,-,-,-
Vanuatu,OFC,127,114,0,0,36,0,12,-,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,93,89,102,95,95,120,120,119,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,CONMEBOL,1108,57,0,108,116,116,8,-,28,36,e,-,e,-,e,-,e,10,e,e,e,-,e,-,21,e,e,e,48,43,41,51,71,72,54,49,57,32,32,26,46,56,53,49,42,31,-,-,-
Vietnã,AFC,744,120,0,64,140,0,60,-,t,19,-,-,e,-,-,-,e,-,-,e,e,-,-,-,e,-,-,e,56,51,52,80,63,60,124,124,124,104,104,104,104,-,-,-,-,-,-,-,-
