Ano,Jogo,Time1,p1,p2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data
19,102,Hong Kong,2,3,Nigéria,Copa,2ª rodada,,,,,11/05/2021 22:00
19,101,Espanha,2,1,Venezuela,Copa,2ª rodada,,,,,11/05/2021 20:00
19,100,Guatemala,2,4,Finlândia,Copa,2ª rodada,,,,,11/05/2021 18:00
19,99,Nicarágua,0,1,Bélgica,Copa,2ª rodada,,,,,11/05/2021 16:00
19,98,Escócia,3,1,Burkina Faso,Copa,2ª rodada,,,,,10/05/2021 22:00
19,97,Inglaterra,2,2,Argélia,Copa,2ª rodada,,,,,10/05/2021 20:00
19,96,Arábia Saudita,2,1,Islândia,Copa,2ª rodada,,,,,10/05/2021 18:00
19,95,Panamá,1,3,Quênia,Copa,2ª rodada,,,,,10/05/2021 16:00
19,94,Portugal,2,2,México,Copa,1ª rodada,,,,,09/05/2021 22:00
19,93,Suécia,1,2,Jamaica,Copa,1ª rodada,,,,,09/05/2021 20:00
19,92,Equador,2,0,Irã,Copa,1ª rodada,,,,,09/05/2021 18:00
19,91,Costa Rica,3,3,Holanda,Copa,1ª rodada,,,,,09/05/2021 16:00
19,90,Alemanha,4,0,Romênia,Copa,1ª rodada,,,,,08/05/2021 22:00
19,89,Suiça,3,1,Colômbia,Copa,1ª rodada,,,,,08/05/2021 20:00
19,88,Croácia,3,3,Bulgária,Copa,1ª rodada,,,,,08/05/2021 18:00
19,87,Honduras,3,0,Marrocos,Copa,1ª rodada,,,,,08/05/2021 16:00
19,86,França,2,2,Hong Kong,Copa,1ª rodada,,,,,07/05/2021 22:00
19,85,Espanha,1,1,Trinidad e Tobago,Copa,1ª rodada,,,,,07/05/2021 20:00
19,84,Japão,1,1,Guatemala,Copa,1ª rodada,,,,,07/05/2021 18:00
19,83,Nicarágua,0,1,Vietnã,Copa,1ª rodada,,,,,07/05/2021 16:00
19,82,Argentina,2,2,Escócia,Copa,1ª rodada,,,,,06/05/2021 22:00
19,81,Inglaterra,3,0,Austrália,Copa,1ª rodada,,,,,06/05/2021 19:00
19,80,Brasil,3,2,Arábia Saudita,Copa,1ª rodada,,,,,06/05/2021 16:00
19,79,Panamá,3,2,Rep Tcheca,Copa,1ª rodada,,,,,05/05/2021 19:00
19,78,Guatemala,1,1,St Vicente,Eliminatórias,CONCACAF-3r,,,,,28/04/2021 16:00
19,77,Colômbia,3,1,Peru,Eliminatórias,CONMEBOL-3r,,,,,28/04/2021 16:00
19,76,Argélia,1,1,Líbia,Eliminatórias,CAF-3r,,,,,28/04/2021 16:00
19,75,Senegal,1,3,Malawi,Eliminatórias,CAF-3r,,,,,28/04/2021 16:00
19,74,Vietnã,1,1,Vanuatu,Eliminatórias,AOFC-3r,,,,,28/04/2021 16:00
19,73,Fiji,1,1,Coréia do Norte,Eliminatórias,AOFC-3r,,,,,28/04/2021 16:00
19,72,Ucrânia,1,2,Sérvia,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,71,Bósnia,1,1,Rússia,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,70,Bulgária,3,3,Irlanda,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,69,Albania,1,2,Romênia,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,68,Rep Tcheca,4,1,Italia,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,67,Suécia,4,1,Cazaquistão,Eliminatórias,UEFA-3r,,,,,28/04/2021 16:00
19,66,México,2,2,St Vicente,Eliminatórias,CONCACAF-2r,,,,,25/04/2021 16:00
19,65,Jamaica,2,2,São Cristóvão,Eliminatórias,CONCACAF-2r,,,,,25/04/2021 16:00
19,64,Trinidad e Tobago,3,1,Guatemala,Eliminatórias,CONCACAF-2r,,,,,25/04/2021 16:00
19,63,Colômbia,2,3,Venezuela,Eliminatórias,CONMEBOL-2r,,,,,24/04/2021 16:00
19,62,Equador,2,1,Peru,Eliminatórias,CONMEBOL-2r,,,,,24/04/2021 16:00
19,61,Chile,2,0,Uruguai,Eliminatórias,CONMEBOL-2r,,,,,24/04/2021 16:00
19,60,Senegal,1,2,Argélia,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,59,Burkina Faso,2,1,Libéria,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,58,Chade,1,1,Quênia,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,57,Camarões,2,1,Líbia,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,56,Malawi,2,2,Níger,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,55,Tunísia,3,1,Benin,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,54,Nigéria,2,1,Uganda,Eliminatórias,CAF-2r,,,,,23/04/2021 16:00
19,53,Austrália,3,2,Vanuatu,Eliminatórias,AOFC-2r,,,,,22/04/2021 16:00
19,52,Fiji,1,3,Irã,Eliminatórias,AOFC-2r,,,,,22/04/2021 16:00
19,51,Coréia do Norte,0,1,Coréia do Sul,Eliminatórias,AOFC-2r,,,,,22/04/2021 16:00
19,50,Hong Kong,4,1,Paquistão,Eliminatórias,AOFC-2r,,,,,22/04/2021 16:00
19,49,Arábia Saudita,0,0,Vietnã,Eliminatórias,AOFC-2r,,,,,22/04/2021 16:00
19,48,Bulgária,2,3,Croácia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,47,Bélgica,3,0,Romênia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,46,Inglaterra,3,1,Irlanda,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,45,Rep Tcheca,3,2,Ucrânia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,44,Holanda,4,2,Geórgia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,43,Italia,0,1,Albania,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,42,Sérvia,4,1,Macedônia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,41,Rússia,3,0,Luxemburgo,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,40,Polônia,2,1,Turquia,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,39,Bósnia,1,2,Cazaquistão,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,38,Suécia,2,1,Malta,Eliminatórias,UEFA-2r,,,,,21/04/2021 16:00
19,37,México,2,1,São Cristóvão,Eliminatórias,CONCACAF-1r,,,,,18/04/2021 16:00
19,36,Estados Unidos,1,3,Guatemala,Eliminatórias,CONCACAF-1r,,,,,18/04/2021 16:00
19,35,Jamaica,4,2,Canadá,Eliminatórias,CONCACAF-1r,,,,,18/04/2021 16:00
19,34,Trinidad e Tobago,1,1,St Vicente,Eliminatórias,CONCACAF-1r,,,,,18/04/2021 16:00
19,33,Colômbia,2,1,Bolívia,Eliminatórias,CONMEBOL-1r,,,,,18/04/2021 16:00
19,32,Equador,4,0,Paraguai,Eliminatórias,CONMEBOL-1r,,,,,18/04/2021 16:00
19,31,Uruguai,1,1,Venezuela,Eliminatórias,CONMEBOL-1r,,,,,18/04/2021 16:00
19,30,Chile,2,2,Peru,Eliminatórias,CONMEBOL-1r,,,,,18/04/2021 16:00
19,29,Togo,1,2,Quênia,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,28,Cabo Verde,0,1,Líbia,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,27,Senegal,3,0,Botsuana,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,26,Burkina Faso,1,1,Benin,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,25,Chade,1,1,Uganda,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,24,Camarões,1,1,Níger,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,23,Malawi,1,1,Libéria,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,22,Tunísia,3,2,Argélia,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,21,Nigéria,2,0,Gabão,Eliminatórias,CAF-1r,,,,,17/04/2021 16:00
19,20,Irã,2,1,China,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,19,Coréia do Sul,1,1,Vietnã,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,18,Austrália,3,2,Nova Zelândia,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,17,Fiji,2,1,Ilhas Salomão,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,16,Coréia do Norte,1,1,Vanuatu,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,15,Hong Kong,1,1,Paquistão,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,14,Arábia Saudita,1,0,Uzbequistão,Eliminatórias,AOFC-1r,,,,,16/04/2021 16:00
19,13,Croácia,2,1,Macedônia,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,12,Bulgária,4,0,Noruega,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,11,Bélgica,1,0,Luxemburgo,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,10,Inglaterra,4,2,Ilhas Faroe,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,9,Rep Tcheca,1,1,Turquia,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,8,Holanda,1,0,Cazaquistão,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,7,Italia,1,0,Malta,Eliminatórias,UEFA-1r,,,,,15/04/2021 16:00
19,6,Sérvia,0,3,Romênia,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
19,5,Dinamarca,0,2,Irlanda,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
19,4,Rússia,1,3,Ucrânia,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
19,3,Polônia,2,1,Geórgia,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
19,2,Bósnia,3,0,Azerbaijão,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
19,1,Suécia,2,2,Albania,Eliminatórias,UEFA-1r,,,,,14/04/2021 16:00
