Ano,Jogo,Time1,desc1,p1,p2,desc2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data,Estadio,Pais,peso
20,59,,p1C-AME,,,p3C-AME,,Taça AMÉRICA,2ª rodada,,,,,02/10/2021 19:00,Santiago,Chile,2
20,60,,p2D-AME,,,p3D-AME,,Taça AMÉRICA,2ª rodada,,,,,02/10/2021 19:00,Concepción,Chile,2
20,61,,p2A-EUR,,,p3A-EUR,,Taça EUROPA,3ª rodada,,,,,03/10/2021 13:00,Cardiff,Gales,2
20,62,,p1B-EUR,,,p3B-EUR,,Taça EUROPA,3ª rodada,,,,,03/10/2021 13:00,Swansea,Gales,2
20,63,,p2C-EUR,,,p3C-EUR,,Taça EUROPA,3ª rodada,,,,,03/10/2021 16:00,Cardiff,Gales,2
20,64,,p1D-EUR,,,p3D-EUR,,Taça EUROPA,3ª rodada,,,,,03/10/2021 16:00,Swansea,Gales,2
20,65,,p2E-EUR,,,p3E-EUR,,Taça EUROPA,3ª rodada,,,,,04/10/2021 13:00,Cardiff,Gales,2
20,66,,p1F-EUR,,,p3F-EUR,,Taça EUROPA,3ª rodada,,,,,04/10/2021 13:00,Swansea,Gales,2
20,67,,p2G-EUR,,,p3G-EUR,,Taça EUROPA,3ª rodada,,,,,04/10/2021 16:00,Cardiff,Gales,2
20,68,,p1H-EUR,,,p3H-EUR,,Taça EUROPA,3ª rodada,,,,,04/10/2021 16:00,Swansea,Gales,2
20,69,,p2A-AFR,,,p3A-AFR,,Taça ÁFRICA,3ª rodada,,,,,05/10/2021 13:00,Casablanca,Marrocos,2
20,70,,p1B-AFR,,,p3B-AFR,,Taça ÁFRICA,3ª rodada,,,,,05/10/2021 13:00,Rabat,Marrocos,2
20,71,,p2C-AFR,,,p3C-AFR,,Taça ÁFRICA,3ª rodada,,,,,05/10/2021 16:00,Casablanca,Marrocos,2
20,72,,p1D-AFR,,,p3D-AFR,,Taça ÁFRICA,3ª rodada,,,,,05/10/2021 16:00,Rabat,Marrocos,2
20,73,,p2A-ASO,,,p3A-ASO,,Taça ÁSIAOCE,3ª rodada,,,,,06/10/2021 04:00,Yokohama,Japão,2
20,74,,p1B-ASO,,,p3B-ASO,,Taça ÁSIAOCE,3ª rodada,,,,,06/10/2021 04:00,Saitama,Japão,2
20,75,,p2C-ASO,,,p3C-ASO,,Taça ÁSIAOCE,3ª rodada,,,,,06/10/2021 07:00,Yokohama,Japão,2
20,76,,p1D-ASO,,,p3D-ASO,,Taça ÁSIAOCE,3ª rodada,,,,,06/10/2021 07:00,Saitama,Japão,2
20,77,,p2A-AME,,,p3A-AME,,Taça AMÉRICA,3ª rodada,,,,,06/10/2021 16:00,Santiago,Chile,2
20,78,,p1B-AME,,,p3B-AME,,Taça AMÉRICA,3ª rodada,,,,,06/10/2021 16:00,Concepción,Chile,2
20,79,,p2C-AME,,,p3C-AME,,Taça AMÉRICA,3ª rodada,,,,,06/10/2021 19:00,Santiago,Chile,2
20,80,,p1D-AME,,,p3D-AME,,Taça AMÉRICA,3ª rodada,,,,,06/10/2021 19:00,Concepción,Chile,2
20,81,,1A-EUR,,,2B-EUR,,Taça EUROPA,8vas-de-final,,,,,07/10/2021 13:00,Cardiff,Gales,3
20,82,,1C-EUR,,,2D-EUR,,Taça EUROPA,8vas-de-final,,,,,07/10/2021 16:00,Swansea,Gales,3
20,83,,1B-EUR,,,2A-EUR,,Taça EUROPA,8vas-de-final,,,,,07/10/2021 13:00,Cardiff,Gales,3
20,84,,1D-EUR,,,2C-EUR,,Taça EUROPA,8vas-de-final,,,,,07/10/2021 16:00,Swansea,Gales,3
20,85,,1E-EUR,,,2F-EUR,,Taça EUROPA,8vas-de-final,,,,,08/10/2021 13:00,Cardiff,Gales,3
20,86,,1G-EUR,,,2H-EUR,,Taça EUROPA,8vas-de-final,,,,,08/10/2021 16:00,Swansea,Gales,3
20,87,,1F-EUR,,,2E-EUR,,Taça EUROPA,8vas-de-final,,,,,08/10/2021 13:00,Cardiff,Gales,3
20,88,,1H-EUR,,,2G-EUR,,Taça EUROPA,8vas-de-final,,,,,08/10/2021 16:00,Swansea,Gales,3
20,89,,1A-AFR,,,2B-AFR,,Taça ÁFRICA,4as-de-final,,,,,09/10/2021 13:00,Casablanca,Marrocos,3
20,90,,1C-AFR,,,2D-AFR,,Taça ÁFRICA,4as-de-final,,,,,09/10/2021 16:00,Rabat,Marrocos,3
20,91,,1B-AFR,,,2A-AFR,,Taça ÁFRICA,4as-de-final,,,,,09/10/2021 13:00,Casablanca,Marrocos,3
20,92,,1D-AFR,,,2C-AFR,,Taça ÁFRICA,4as-de-final,,,,,09/10/2021 16:00,Rabat,Marrocos,3
20,93,,1A-ASO,,,2B-ASO,,Taça ÁSIAOCE,4as-de-final,,,,,10/10/2021 04:00,Yokohama,Japão,3
20,94,,1C-ASO,,,2D-ASO,,Taça ÁSIAOCE,4as-de-final,,,,,10/10/2021 07:00,Saitama,Japão,3
20,95,,1B-ASO,,,2A-ASO,,Taça ÁSIAOCE,4as-de-final,,,,,10/10/2021 04:00,Yokohama,Japão,3
20,96,,1D-ASO,,,2C-ASO,,Taça ÁSIAOCE,4as-de-final,,,,,10/10/2021 07:00,Saitama,Japão,3
20,97,,1A-AME,,,2B-AME,,Taça AMÉRICA,4as-de-final,,,,,10/10/2021 16:00,Santiago,Chile,3
20,98,,1C-AME,,,2D-AME,,Taça AMÉRICA,4as-de-final,,,,,10/10/2021 19:00,Concepción,Chile,3
20,99,,1B-AME,,,2A-AME,,Taça AMÉRICA,4as-de-final,,,,,10/10/2021 16:00,Santiago,Chile,3
20,100,,1D-AME,,,2C-AME,,Taça AMÉRICA,4as-de-final,,,,,10/10/2021 19:00,Concepción,Chile,3
20,101,,o1-EUR,,,o2-EUR,,Taça EUROPA,4as-de-final,,,,,11/10/2021 13:00,Cardiff,Gales,3
20,102,,o5-EUR,,,o6-EUR,,Taça EUROPA,4as-de-final,,,,,11/10/2021 16:00,Swansea,Gales,3
20,103,,o3-EUR,,,o4-EUR,,Taça EUROPA,4as-de-final,,,,,11/10/2021 13:00,Cardiff,Gales,3
20,104,,o7-EUR,,,o8-EUR,,Taça EUROPA,4as-de-final,,,,,11/10/2021 16:00,Swansea,Gales,3
20,105,,q1-AFR,,,q2-AFR,,Taça ÁFRICA,Semi-final,,,,,12/10/2021 13:00,Casablanca,Marrocos,4
20,106,,q3-AFR,,,q4-AFR,,Taça ÁFRICA,Semi-final,,,,,12/10/2021 16:00,Rabat,Marrocos,4
20,107,,q1-ASO,,,q2-ASO,,Taça ÁSIAOCE,Semi-final,,,,,13/10/2021 04:00,Yokohama,Japão,4
20,108,,q3-ASO,,,q4-ASO,,Taça ÁSIAOCE,Semi-final,,,,,13/10/2021 07:00,Saitama,Japão,4
20,109,,q1-AME,,,q2-AME,,Taça AMÉRICA,Semi-final,,,,,13/10/2021 16:00,Santiago,Chile,4
20,110,,q3-AME,,,q4-AME,,Taça AMÉRICA,Semi-final,,,,,13/10/2021 19:00,Concepción,Chile,4
20,111,,q1-EUR,,,q2-EUR,,Taça EUROPA,Semi-final,,,,,14/10/2021 13:00,Cardiff,Gales,4
20,112,,q3-EUR,,,q4-EUR,,Taça EUROPA,Semi-final,,,,,14/10/2021 16:00,Swansea,Gales,4
20,113,,s1-AFR,,,s2-AFR,,Taça ÁFRICA,Final,,,,,15/10/2021 16:00,Casablanca,Marrocos,5
20,114,,s1-ASO,,,s2-ASO,,Taça ÁSIAOCE,Final,,,,,16/10/2021 07:00,Yokohama,Japão,5
20,115,,s1-AME,,,s2-AME,,Taça AMÉRICA,Final,,,,,16/10/2021 19:00,Santiago,Chile,5
20,116,,s1-EUR,,,s2-EUR,,Taça EUROPA,Final,,,,,17/10/2021 16:00,Cardiff,Gales,5
20,117,,EUROPA,,,ÁFRICA,,Taça Mundial,Semi-final,,,,,21/10/2021 13:00,Casablanca,Marrocos,6
20,118,,AMÉRICA,,,ÁSIA-OCE,,Taça Mundial,Semi-final,,,,,21/10/2021 16:00,Rabat,Marrocos,6
20,119,,ps1-TAC,,,ps2-TAC,,Taça Mundial,D. 3º Lugar,,,,,24/10/2021 13:00,Rabat,Marrocos,7
20,120,,s1-TAC,,,s2-TAC,,Taça Mundial,Final,,,,,24/10/2021 16:00,Casablanca,Marrocos,8
